total,code,female,year,male
11817096,BE,5981093,2024,5836003
1264371,BE1,641295,2024,623076
1264371,BE10,641295,2024,623076
1264371,BE100,641295,2024,623076
6838869,BE2,3448380,2024,3390489
1932876,BE21,972135,2024,960741
1091855,BE211,549456,2024,542399
360257,BE212,182820,2024,177437
480764,BE213,239859,2024,240905
904311,BE22,453132,2024,451179
210610,BE223,105689,2024,104921
433275,BE224,218044,2024,215231
260426,BE225,129399,2024,131027
1575007,BE23,795321,2024,779686
305220,BE231,155146,2024,150074
207736,BE232,105238,2024,102498
89594,BE233,44772,2024,44822
578667,BE234,291448,2024,287219
128271,BE235,64796,2024,63475
265519,BE236,133921,2024,131598
1197691,BE24,609363,2024,588328
670409,BE241,342464,2024,327945
527282,BE242,266899,2024,260383
1228984,BE25,618429,2024,610555
287333,BE251,145456,2024,141877
52562,BE252,26249,2024,26313
108483,BE253,54180,2024,54303
302683,BE254,152632,2024,150051
160429,BE255,80951,2024,79478
159795,BE256,79890,2024,79905
95781,BE257,47633,2024,48148
61918,BE258,31438,2024,30480
3713856,BE3,1891418,2024,1822438
415265,BE31,213737,2024,201528
415265,BE310,213737,2024,201528
1364549,BE32,697864,2024,666685
261179,BE323,134400,2024,126779
227739,BE328,115541,2024,112198
142427,BE329,73174,2024,69253
130561,BE32A,66485,2024,64076
401194,BE32B,205600,2024,195594
108633,BE32C,55469,2024,53164
92816,BE32D,47195,2024,45621
1126993,BE33,572939,2024,554054
116043,BE331,58924,2024,57119
633801,BE332,322975,2024,310826
84193,BE334,42982,2024,41211
212985,BE335,107885,2024,105100
79971,BE336,40173,2024,39798
298691,BE34,149149,2024,149542
66355,BE341,33048,2024,33307
51899,BE342,25706,2024,26193
58846,BE343,29240,2024,29606
66376,BE344,33149,2024,33227
55215,BE345,28006,2024,27209
508358,BE35,257729,2024,250629
114641,BE351,57757,2024,56884
325477,BE352,165702,2024,159775
68240,BE353,34270,2024,33970
6445481,BG,3347783,2024,3097698
3121684,BG3,1621432,2024,1500252
664024,BG31,343867,2024,320157
71773,BG311,37374,2024,34399
114526,BG312,59100,2024,55426
147619,BG313,76177,2024,71442
217881,BG314,113234,2024,104647
112225,BG315,57982,2024,54243
680359,BG32,355157,2024,325202
202232,BG321,105732,2024,96500
94862,BG322,49866,2024,44996
187830,BG323,98073,2024,89757
100696,BG324,52395,2024,48301
94739,BG325,49091,2024,45648
826134,BG33,428665,2024,397469
434191,BG331,225769,2024,208422
146635,BG332,76584,2024,70051
149699,BG333,77117,2024,72582
95609,BG334,49195,2024,46414
951167,BG34,493743,2024,457424
384446,BG341,200128,2024,184318
170051,BG342,88008,2024,82043
106320,BG343,54814,2024,51506
290350,BG344,150793,2024,139557
3323797,BG4,1726351,2024,1597446
2019167,BG41,1049700,2024,969467
1286965,BG411,671956,2024,615009
226420,BG412,115750,2024,110670
287077,BG413,148083,2024,138994
111032,BG414,57977,2024,53055
107673,BG415,55934,2024,51739
1304630,BG42,676651,2024,627979
633586,BG421,331338,2024,302248
207114,BG422,106910,2024,100204
225261,BG423,115735,2024,109526
92107,BG424,48052,2024,44055
146562,BG425,74616,2024,71946
10900555,CZ,5557945,2024,5342610
10900555,CZ0,5557945,2024,5342610
1384732,CZ01,714052,2024,670680
1384732,CZ010,714052,2024,670680
1455940,CZ02,741188,2024,714752
1455940,CZ020,741188,2024,714752
1267879,CZ03,644512,2024,623367
654505,CZ031,332167,2024,322338
613374,CZ032,312345,2024,301029
1106246,CZ04,563237,2024,543009
295077,CZ041,151498,2024,143579
811169,CZ042,411739,2024,399430
1538237,CZ05,781639,2024,756598
450728,CZ051,229790,2024,220938
556949,CZ052,283317,2024,273632
530560,CZ053,268532,2024,262028
1744709,CZ06,887156,2024,857553
517960,CZ063,260948,2024,257012
1226749,CZ064,626208,2024,600541
1213608,CZ07,619364,2024,594244
632864,CZ071,323484,2024,309380
580744,CZ072,295880,2024,284864
1189204,CZ08,606797,2024,582407
1189204,CZ080,606797,2024,582407
5961249,DK,2997558,2024,2963691
5961249,DK0,2997558,2024,2963691
1911067,DK01,972243,2024,938824
822733,DK011,419391,2024,403342
572774,DK012,289779,2024,282995
476137,DK013,243105,2024,233032
39423,DK014,19968,2024,19455
852953,DK02,427926,2024,425027
259862,DK021,131684,2024,128178
593091,DK022,296242,2024,296849
1238406,DK03,619334,2024,619072
505817,DK031,254484,2024,251333
732589,DK032,364850,2024,367739
1365688,DK04,684063,2024,681625
429734,DK041,212966,2024,216768
935954,DK042,471097,2024,464857
593135,DK05,293992,2024,299143
593135,DK050,293992,2024,299143
83456045,DE,42294114,2024,41161931
11230740,DE1,5658658,2024,5572082
4164699,DE11,2090979,2024,2073720
613111,DE111,307885,2024,305226
394261,DE112,198205,2024,196056
536027,DE113,268821,2024,267206
259232,DE114,130522,2024,128710
534808,DE115,270696,2024,264112
440103,DE116,222120,2024,217983
131653,DE117,65048,2024,66605
353609,DE118,176566,2024,177043
115335,DE119,57122,2024,58213
200597,DE11A,99964,2024,100633
133459,DE11B,66777,2024,66682
135241,DE11C,67853,2024,67388
317263,DE11D,159400,2024,157863
2844407,DE12,1432592,2024,1411815
56526,DE121,29612,2024,26914
308197,DE122,151723,2024,156474
455350,DE123,228258,2024,227092
231356,DE124,116450,2024,114906
155175,DE125,80972,2024,74203
316256,DE126,158202,2024,158054
145681,DE127,72657,2024,73024
557819,DE128,283683,2024,274136
135087,DE129,68537,2024,66550
161181,DE12A,80751,2024,80430
199878,DE12B,100832,2024,99046
121901,DE12C,60915,2024,60986
2320772,DE13,1176922,2024,1143850
236236,DE131,123790,2024,112446
271977,DE132,137803,2024,134174
169470,DE133,85592,2024,83878
443482,DE134,222140,2024,221342
140344,DE135,70159,2024,70185
213922,DE136,108120,2024,105802
144955,DE137,72207,2024,72748
291397,DE138,149473,2024,141924
237212,DE139,120679,2024,116533
171777,DE13A,86959,2024,84818
1900862,DE14,958165,2024,942697
293385,DE141,147967,2024,145418
232897,DE142,120042,2024,112855
193339,DE143,97725,2024,95614
128998,DE144,65367,2024,63631
201769,DE145,100406,2024,101363
206783,DE146,102495,2024,104288
221208,DE147,112375,2024,108833
289725,DE148,145528,2024,144197
132758,DE149,66260,2024,66498
13176426,DE2,6645132,2024,6531294
4726101,DE21,2389704,2024,2336397
139536,DE211,68778,2024,70758
1488719,DE212,760595,2024,728124
64453,DE213,32630,2024,31823
113018,DE214,57033,2024,55985
105108,DE215,53694,2024,51414
129787,DE216,65693,2024,64094
151925,DE217,75961,2024,75964
143011,DE218,71662,2024,71349
135220,DE219,66685,2024,68535
139547,DE21A,69525,2024,70022
183535,DE21B,89786,2024,93749
216912,DE21C,110626,2024,106286
89322,DE21D,46392,2024,42930
120966,DE21E,60855,2024,60111
96730,DE21F,49170,2024,47560
121263,DE21G,59913,2024,61350
352771,DE21H,178321,2024,174450
98967,DE21I,49212,2024,49755
129497,DE21J,63877,2024,65620
256815,DE21K,130293,2024,126522
138926,DE21L,71845,2024,67081
172021,DE21M,87356,2024,84665
138052,DE21N,69802,2024,68250
1251623,DE22,625475,2024,626148
68741,DE221,35212,2024,33529
52894,DE222,27197,2024,25697
47524,DE223,23497,2024,24027
121137,DE224,60431,2024,60706
78512,DE225,39595,2024,38917
125597,DE226,62044,2024,63553
161180,DE227,80145,2024,81035
194068,DE228,97713,2024,96355
77439,DE229,38880,2024,38559
120475,DE22A,60427,2024,60048
103329,DE22B,51500,2024,51829
100727,DE22C,48834,2024,51893
1116135,DE23,559329,2024,556806
42217,DE231,21486,2024,20731
149664,DE232,76100,2024,73564
42430,DE233,21827,2024,20603
104127,DE234,52077,2024,52050
128230,DE235,63729,2024,64501
138214,DE236,68271,2024,69943
96209,DE237,48268,2024,47941
193801,DE238,96954,2024,96847
148698,DE239,74124,2024,74574
72545,DE23A,36493,2024,36052
1055751,DE24,534575,2024,521176
75087,DE241,38226,2024,36861
73074,DE242,37230,2024,35844
40907,DE243,20984,2024,19923
46484,DE244,23665,2024,22819
148017,DE245,74100,2024,73917
103269,DE246,51980,2024,51289
84518,DE247,42596,2024,41922
116284,DE248,58613,2024,57671
92675,DE249,47270,2024,45405
65009,DE24A,32874,2024,32135
71752,DE24B,36397,2024,35355
67716,DE24C,34307,2024,33409
70959,DE24D,36333,2024,34626
1791147,DE25,906737,2024,884410
39700,DE251,20425,2024,19275
115314,DE252,58133,2024,57181
131712,DE253,66865,2024,64847
526606,DE254,268087,2024,258519
40994,DE255,20991,2024,20003
187340,DE256,93555,2024,93785
138581,DE257,69760,2024,68821
117617,DE258,60466,2024,57151
169193,DE259,86039,2024,83154
100982,DE25A,50292,2024,50690
128438,DE25B,64682,2024,63756
94670,DE25C,47442,2024,47228
1315155,DE26,664518,2024,650637
72554,DE261,37101,2024,35453
53938,DE262,27259,2024,26679
131759,DE263,68841,2024,62918
170856,DE264,86276,2024,84580
103447,DE265,52541,2024,50906
79430,DE266,39844,2024,39586
83673,DE267,41677,2024,41996
91197,DE268,45513,2024,45684
127204,DE269,64051,2024,63153
125814,DE26A,63079,2024,62735
114404,DE26B,57013,2024,57391
160879,DE26C,81323,2024,79556
1920514,DE27,964794,2024,955720
298972,DE271,151480,2024,147492
46071,DE272,23339,2024,22732
65933,DE273,33657,2024,32276
44048,DE274,22390,2024,21658
136430,DE275,68436,2024,67994
261600,DE276,131747,2024,129853
98474,DE277,49204,2024,49270
129696,DE278,64227,2024,65469
182560,DE279,91269,2024,91291
82224,DE27A,41837,2024,40387
141137,DE27B,71047,2024,70090
145298,DE27C,71868,2024,73430
134677,DE27D,66303,2024,68374
153394,DE27E,77990,2024,75404
3662381,DE3,1865972,2024,1796409
3662381,DE30,1865972,2024,1796409
3662381,DE300,1865972,2024,1796409
2554464,DE4,1297200,2024,1257264
2554464,DE40,1297200,2024,1257264
73939,DE401,37793,2024,36146
94778,DE402,48962,2024,45816
57065,DE403,29203,2024,27862
184290,DE404,95373,2024,88917
192776,DE405,97907,2024,94869
177662,DE406,89700,2024,87962
98750,DE407,49915,2024,48835
169721,DE408,86017,2024,83704
197785,DE409,100185,2024,97600
217290,DE40A,110363,2024,106927
108434,DE40B,55483,2024,52951
180499,DE40C,91503,2024,88996
99372,DE40D,50148,2024,49224
220158,DE40E,111372,2024,108786
76148,DE40F,38310,2024,37838
110580,DE40G,56412,2024,54168
177420,DE40H,88669,2024,88751
117797,DE40I,59885,2024,57912
702655,DE5,355511,2024,347144
702655,DE50,355511,2024,347144
584332,DE501,296124,2024,288208
118323,DE502,59387,2024,58936
1851596,DE6,945342,2024,906254
1851596,DE60,945342,2024,906254
1851596,DE600,945342,2024,906254
6267546,DE7,3176193,2024,3091353
4024030,DE71,2039967,2024,1984063
164832,DE711,80725,2024,84107
749596,DE712,381659,2024,367937
131845,DE713,65681,2024,66164
287241,DE714,148218,2024,139023
274484,DE715,138787,2024,135697
302263,DE716,152570,2024,149693
267920,DE717,133808,2024,134112
240622,DE718,123913,2024,116709
419055,DE719,212130,2024,206925
238593,DE71A,121476,2024,117117
94246,DE71B,47662,2024,46584
356578,DE71C,181012,2024,175566
186050,DE71D,94966,2024,91084
310705,DE71E,157360,2024,153345
1041453,DE72,527901,2024,513552
268141,DE721,136193,2024,131948
254444,DE722,128716,2024,125728
174281,DE723,87911,2024,86370
243093,DE724,123877,2024,119216
101494,DE725,51204,2024,50290
1202063,DE73,608325,2024,593738
197065,DE731,101269,2024,95796
222688,DE732,111929,2024,110759
118010,DE733,59319,2024,58691
230742,DE734,117900,2024,112842
180368,DE735,90266,2024,90102
155135,DE736,78194,2024,76941
98055,DE737,49448,2024,48607
1578041,DE8,805379,2024,772662
1578041,DE80,805379,2024,772662
204948,DE803,105083,2024,99865
97850,DE804,50850,2024,47000
247575,DE80J,126981,2024,120594
218780,DE80K,110724,2024,108056
216175,DE80L,111166,2024,105009
157160,DE80M,79410,2024,77750
226181,DE80N,116080,2024,110101
209372,DE80O,105085,2024,104287
8008135,DE9,4056992,2024,3951143
1592700,DE91,804423,2024,788277
253527,DE911,127861,2024,125666
105056,DE912,52498,2024,52558
129347,DE913,64728,2024,64619
175876,DE914,88506,2024,87370
127712,DE916,64763,2024,62949
90692,DE917,45848,2024,44844
126310,DE918,64029,2024,62281
136983,DE91A,69054,2024,67929
118540,DE91B,60010,2024,58530
328657,DE91C,167126,2024,161531
2123401,DE92,1082278,2024,1041123
220743,DE922,111465,2024,109278
150535,DE923,77389,2024,73146
268318,DE925,137244,2024,131074
66088,DE926,33169,2024,32919
121723,DE927,61425,2024,60298
157051,DE928,80176,2024,76875
1138943,DE929,581410,2024,557533
1721982,DE93,874271,2024,847711
172871,DE931,88440,2024,84431
199390,DE932,101818,2024,97572
264767,DE933,133316,2024,131451
46815,DE934,24015,2024,22800
179403,DE935,92468,2024,86935
113784,DE936,58264,2024,55520
165561,DE937,82674,2024,82887
141627,DE938,71479,2024,70148
207659,DE939,104614,2024,103045
91832,DE93A,46783,2024,45049
138273,DE93B,70400,2024,67873
2570052,DE94,1296020,2024,1274032
81746,DE941,41364,2024,40382
49701,DE942,25042,2024,24659
176242,DE943,91020,2024,85222
165686,DE944,85199,2024,80487
76010,DE945,38115,2024,37895
127292,DE946,65003,2024,62289
188960,DE947,96166,2024,92794
176540,DE948,86722,2024,89818
334203,DE949,164668,2024,169535
100461,DE94A,51622,2024,48839
144212,DE94B,72127,2024,72085
169111,DE94C,85760,2024,83351
131965,DE94D,66826,2024,65139
356194,DE94E,180084,2024,176110
146400,DE94F,72916,2024,73484
89316,DE94G,44770,2024,44546
56013,DE94H,28616,2024,27397
18017520,DEA,9158484,2024,8859036
5238909,DEA1,2675839,2024,2563070
616319,DEA11,318508,2024,297811
503185,DEA12,253589,2024,249596
574082,DEA13,294821,2024,279261
230393,DEA14,117478,2024,112915
267667,DEA15,134626,2024,133041
172887,DEA16,89060,2024,83827
213510,DEA17,109861,2024,103649
114061,DEA18,57407,2024,56654
166078,DEA19,84773,2024,81305
358592,DEA1A,181835,2024,176757
319928,DEA1B,160314,2024,159614
489760,DEA1C,252661,2024,237099
457398,DEA1D,234215,2024,223183
297504,DEA1E,151917,2024,145587
457545,DEA1F,234774,2024,222771
4478118,DEA2,2274795,2024,2203323
321680,DEA22,166582,2024,155098
1024408,DEA23,526358,2024,498050
167850,DEA24,85382,2024,82468
278462,DEA26,139742,2024,138720
476412,DEA27,242628,2024,233784
201841,DEA28,101525,2024,100316
262149,DEA29,132299,2024,129850
273963,DEA2A,138999,2024,134964
283607,DEA2B,145858,2024,137749
605283,DEA2C,307526,2024,297757
582463,DEA2D,287896,2024,294567
2654384,DEA3,1348008,2024,1306376
118912,DEA31,61088,2024,57824
267284,DEA32,135180,2024,132104
307071,DEA33,160245,2024,146826
379787,DEA34,189759,2024,190028
226217,DEA35,114571,2024,111646
622855,DEA36,318768,2024,304087
450042,DEA37,225930,2024,224112
282216,DEA38,142467,2024,139749
2072972,DEA4,1047965,2024,1025007
331519,DEA41,170558,2024,160961
363674,DEA42,182318,2024,181356
254593,DEA43,129234,2024,125359
139042,DEA44,69614,2024,69428
347613,DEA45,176957,2024,170656
320925,DEA46,161782,2024,159143
315606,DEA47,157502,2024,158104
3573137,DEA5,1811877,2024,1761260
357024,DEA51,181701,2024,175323
601343,DEA52,304972,2024,296371
190640,DEA53,96849,2024,93791
179380,DEA54,90884,2024,88496
156154,DEA55,79570,2024,76584
315069,DEA56,162521,2024,152548
261193,DEA57,130845,2024,130348
408899,DEA58,207634,2024,201265
132426,DEA59,65913,2024,66513
274379,DEA5A,137739,2024,136640
300347,DEA5B,151090,2024,149257
396283,DEA5C,202159,2024,194124
4125163,DEB,2084317,2024,2040846
1527616,DEB1,772257,2024,755359
113346,DEB11,57377,2024,55969
128546,DEB12,64982,2024,63564
132149,DEB13,66634,2024,65515
164564,DEB14,83902,2024,80662
82622,DEB15,41915,2024,40707
216874,DEB17,109778,2024,107096
188656,DEB18,95458,2024,93198
125283,DEB1A,63296,2024,61987
207648,DEB1B,104612,2024,103036
61538,DEB1C,30811,2024,30727
106390,DEB1D,53492,2024,52898
526651,DEB2,264341,2024,262310
103986,DEB21,53104,2024,50882
113327,DEB22,56768,2024,56559
100740,DEB23,49795,2024,50945
59542,DEB24,29705,2024,29837
149056,DEB25,74969,2024,74087
