total,code,female,year,male
2070896,DEB3,1047719,2024,1023177
48107,DEB31,24273,2024,23834
100571,DEB32,49843,2024,50728
48202,DEB33,25075,2024,23127
175816,DEB34,87273,2024,88543
223871,DEB35,114801,2024,109070
52709,DEB36,27094,2024,25615
39576,DEB37,20052,2024,19524
49874,DEB38,25489,2024,24385
86403,DEB39,43122,2024,43281
33355,DEB3A,16783,2024,16572
130794,DEB3B,65925,2024,64869
134221,DEB3C,68323,2024,65898
74728,DEB3D,37770,2024,36958
131678,DEB3E,65970,2024,65708
106082,DEB3F,54071,2024,52011
69846,DEB3G,34942,2024,34904
113150,DEB3H,57458,2024,55692
155525,DEB3I,79022,2024,76503
206220,DEB3J,104612,2024,101608
90168,DEB3K,45821,2024,44347
1014047,DEC,514918,2024,499129
1014047,DEC0,514918,2024,499129
332416,DEC01,168778,2024,163638
109336,DEC02,54950,2024,54386
133667,DEC03,67825,2024,65842
206094,DEC04,104711,2024,101383
144478,DEC05,74036,2024,70442
88056,DEC06,44618,2024,43438
4054689,DED,2058297,2024,1996392
1589143,DED2,805268,2024,783875
563019,DED21,283832,2024,279187
294746,DED2C,149433,2024,145313
245867,DED2D,125405,2024,120462
240368,DED2E,122410,2024,117958
245143,DED2F,124188,2024,120955
1396049,DED4,711003,2024,685046
245150,DED41,124995,2024,120155
322179,DED42,164687,2024,157492
297766,DED43,150200,2024,147566
221088,DED44,113111,2024,107977
309866,DED45,158010,2024,151856
1069497,DED5,542026,2024,527471
608013,DED51,308282,2024,299731
260706,DED52,132517,2024,128189
200778,DED53,101227,2024,99551
2144570,DEE,1092316,2024,1052254
2144570,DEE0,1092316,2024,1052254
76062,DEE01,39648,2024,36414
227639,DEE02,117822,2024,109817
242491,DEE03,122618,2024,119873
80780,DEE04,40571,2024,40209
153801,DEE05,78537,2024,75264
88695,DEE06,44827,2024,43868
168593,DEE07,84737,2024,83856
175217,DEE08,89409,2024,85808
207134,DEE09,106094,2024,101040
130162,DEE0A,66037,2024,64125
182677,DEE0B,92427,2024,90250
182296,DEE0C,93291,2024,89005
106793,DEE0D,54226,2024,52567
122230,DEE0E,62072,2024,60158
2953202,DEF,1509314,2024,1443888
2953202,DEF0,1509314,2024,1443888
96431,DEF01,48878,2024,47553
251751,DEF02,128671,2024,123080
217061,DEF03,112798,2024,104263
79461,DEF04,40017,2024,39444
133514,DEF05,67647,2024,65867
205445,DEF06,104995,2024,100450
170048,DEF07,87122,2024,82926
201529,DEF08,104627,2024,96902
323762,DEF09,165074,2024,158688
130635,DEF0A,67786,2024,62849
277888,DEF0B,141378,2024,136510
204761,DEF0C,103894,2024,100867
282268,DEF0D,143122,2024,139146
132447,DEF0E,66938,2024,65509
246201,DEF0F,126367,2024,119834
2114870,DEG,1070089,2024,1044781
2114870,DEG0,1070089,2024,1044781
219549,DEG01,112514,2024,107035
95695,DEG02,48943,2024,46752
110076,DEG03,56180,2024,53896
36307,DEG0S,18158,2024,18149
107002,DEG0T,53209,2024,53793
65528,DEG05,34082,2024,31446
102699,DEG06,51312,2024,51387
81502,DEG07,41261,2024,40241
96458,DEG09,48611,2024,47847
72556,DEG0A,36504,2024,36052
121151,DEG0Q,60725,2024,60426
156334,DEG0R,78733,2024,77601
136933,DEG0C,69015,2024,67918
68109,DEG0D,34136,2024,33973
60691,DEG0E,30308,2024,30383
82868,DEG0G,41868,2024,41000
55959,DEG0V,28343,2024,27616
101111,DEG0U,51508,2024,49603
84040,DEG0J,42281,2024,41759
77859,DEG0K,39294,2024,38565
94488,DEG0L,47868,2024,46620
87955,DEG0M,45236,2024,42719
1374687,EE,723074,2024,651613
1374687,EE0,723074,2024,651613
1374687,EE00,723074,2024,651613
646315,EE001,340342,2024,305973
148955,EE004,78573,2024,70382
323265,EE008,168410,2024,154855
123866,EE009,64313,2024,59553
132286,EE00A,71436,2024,60850
5351681,IE,2708306,2024,2643375
5351681,IE0,2708306,2024,2643375
945560,IE04,475958,2024,469602
441644,IE041,221882,2024,219762
503916,IE042,254076,2024,249840
1772411,IE05,897753,2024,874658
529583,IE051,268752,2024,260831
473064,IE052,238864,2024,234200
769764,IE053,390137,2024,379627
2633710,IE06,1334595,2024,1299115
1519751,IE061,774189,2024,745562
782429,IE062,393334,2024,389095
331530,IE063,167072,2024,164458
10400720,EL,5303827,2024,5096893
3784565,EL3,1962878,2024,1821687
3784565,EL30,1962878,2024,1821687
597127,EL301,316938,2024,280189
468487,EL302,241526,2024,226961
988191,EL303,513967,2024,474224
522125,EL304,277171,2024,244954
528899,EL305,267311,2024,261588
164998,EL306,82012,2024,82986
514738,EL307,263953,2024,250785
1150744,EL4,573339,2024,577405
201007,EL41,96584,2024,104423
106411,EL411,50636,2024,55775
42703,EL412,20238,2024,22465
51893,EL413,25710,2024,26183
327246,EL42,161784,2024,165462
209188,EL421,102360,2024,106828
118058,EL422,59424,2024,58634
622491,EL43,314971,2024,307520
303172,EL431,154586,2024,148586
77338,EL432,38481,2024,38857
85375,EL433,43461,2024,41914
156606,EL434,78443,2024,78163
2909108,EL5,1488276,2024,1420832
561834,EL51,282919,2024,278915
134417,EL511,65176,2024,69241
107960,EL512,54254,2024,53706
105694,EL513,54065,2024,51629
87466,EL514,44388,2024,43078
126297,EL515,65036,2024,61261
1778896,EL52,919193,2024,859703
129525,EL521,65604,2024,63921
1086927,EL522,569363,2024,517564
69592,EL523,34976,2024,34616
122577,EL524,62391,2024,60186
116464,EL525,59591,2024,56873
152075,EL526,76582,2024,75493
101736,EL527,50686,2024,51050
247270,EL53,124180,2024,123090
159209,EL531,79603,2024,79606
44482,EL532,22342,2024,22140
43579,EL533,22235,2024,21344
321108,EL54,161984,2024,159124
115839,EL541,58393,2024,57446
40315,EL542,20208,2024,20107
164954,EL543,83383,2024,81571
2556303,EL6,1279334,2024,1276969
678747,EL61,344030,2024,334717
223804,EL611,112694,2024,111110
266393,EL612,134414,2024,131979
188550,EL613,96922,2024,91628
200642,EL62,101606,2024,99036
40510,EL621,20438,2024,20072
99155,EL622,50585,2024,48570
38571,EL623,19435,2024,19136
22406,EL624,11148,2024,11258
640243,EL63,317878,2024,322365
186707,EL631,93253,2024,93454
302183,EL632,153742,2024,148441
151353,EL633,70883,2024,80470
505073,EL64,251145,2024,253928
106677,EL641,51928,2024,54749
210466,EL642,104726,2024,105740
17408,EL643,8564,2024,8844
133936,EL644,67745,2024,66191
36586,EL645,18182,2024,18404
531598,EL65,264675,2024,266923
167406,EL651,83528,2024,83878
136663,EL652,68656,2024,68007
227529,EL653,112491,2024,115038
48619695,ES,24792824,2024,23826871
4306283,ES1,2236739,2024,2069544
2705833,ES11,1404089,2024,1301744
1128449,ES111,587925,2024,540524
325048,ES112,167333,2024,157715
304467,ES113,158286,2024,146181
947869,ES114,490545,2024,457324
1009599,ES12,528121,2024,481478
1009599,ES120,528121,2024,481478
590851,ES13,304529,2024,286322
590851,ES130,304529,2024,286322
4581792,ES2,2334131,2024,2247661
2227684,ES21,1144196,2024,1083488
338594,ES211,171927,2024,166667
729722,ES212,373424,2024,356298
1159368,ES213,598845,2024,560523
678333,ES22,342414,2024,335919
678333,ES220,342414,2024,335919
324184,ES23,164205,2024,159979
324184,ES230,164205,2024,159979
1351591,ES24,683316,2024,668275
228519,ES241,112527,2024,115992
135309,ES242,66688,2024,68621
987763,ES243,504101,2024,483662
7009268,ES3,3653105,2024,3356163
7009268,ES30,3653105,2024,3356163
7009268,ES300,3653105,2024,3356163
5550796,ES4,2796392,2024,2754404
2391682,ES41,1214178,2024,1177504
160463,ES411,79868,2024,80595
359740,ES412,179916,2024,179824
447802,ES413,229977,2024,217825
158063,ES414,79720,2024,78343
327552,ES415,168858,2024,158694
156620,ES416,78111,2024,78509
90073,ES417,44340,2024,45733
525116,ES418,269582,2024,255534
166253,ES419,83806,2024,82447
2104433,ES42,1049210,2024,1055223
389070,ES421,194309,2024,194761
492948,ES422,248511,2024,244437
199025,ES423,98660,2024,100365
280225,ES424,138188,2024,142037
743165,ES425,369542,2024,373623
1054681,ES43,533004,2024,521677
666029,ES431,337097,2024,328932
388652,ES432,195907,2024,192745
14563284,ES5,7389824,2024,7173460
8012231,ES51,4068533,2024,3943698
5877672,ES511,3006951,2024,2870721
821108,ES512,409761,2024,411347
451707,ES513,220654,2024,231053
861744,ES514,431167,2024,430577
5319285,ES52,2703433,2024,2615852
1993289,ES521,1008497,2024,984792
615188,ES522,309577,2024,305611
2710808,ES523,1385359,2024,1325449
1231768,ES53,617858,2024,613910
172968,ES531,84684,2024,88284
957726,ES532,482425,2024,475301
101074,ES533,50749,2024,50325
10369518,ES6,5248916,2024,5120602
8631862,ES61,4382507,2024,4249355
760964,ES611,371861,2024,389103
1258730,ES612,639187,2024,619543
774313,ES613,395658,2024,378655
939741,ES614,477226,2024,462515
535734,ES615,270072,2024,265662
619055,ES616,312583,2024,306472
1774701,ES617,907561,2024,867140
1968624,ES618,1008359,2024,960265
1568492,ES62,782454,2024,786038
1568492,ES620,782454,2024,786038
83179,ES63,41222,2024,41957
83179,ES630,41222,2024,41957
85985,ES64,42733,2024,43252
85985,ES640,42733,2024,43252
2238754,ES7,1133717,2024,1105037
2238754,ES70,1133717,2024,1105037
11786,ES703,5839,2024,5947
126676,ES704,61809,2024,64867
869984,ES705,440965,2024,429019
22507,ES706,11068,2024,11439
85382,ES707,43146,2024,42236
163230,ES708,81052,2024,82178
959189,ES709,489838,2024,469351
68467362,FR,35271283,2024,33196079
12430351,FR1,6409484,2024,6020867
12430351,FR10,6409484,2024,6020867
2070806,FR101,1096556,2024,974250
1470763,FR102,754019,2024,716744
1483576,FR103,760085,2024,723491
1337492,FR104,679861,2024,657631
1658614,FR105,866066,2024,792548
1702158,FR106,857664,2024,844494
1424361,FR107,738295,2024,686066
1282581,FR108,656938,2024,625643
2582015,FRB,1327443,2024,1254572
2582015,FRB0,1327443,2024,1254572
297019,FRB01,152274,2024,144745
433304,FRB02,221254,2024,212050
214525,FRB03,110826,2024,103699
619310,FRB04,321588,2024,297722
328012,FRB05,168657,2024,159355
689845,FRB06,352844,2024,337001
2797160,FRC,1430115,2024,1367045
1617648,FRC1,830419,2024,787229
538508,FRC11,277037,2024,261471
200541,FRC12,103860,2024,96681
546754,FRC13,279830,2024,266924
331845,FRC14,169692,2024,162153
1179512,FRC2,599696,2024,579816
550255,FRC21,280586,2024,269669
257644,FRC22,131224,2024,126420
232626,FRC23,117953,2024,114673
138987,FRC24,69933,2024,69054
3341043,FRD,1721876,2024,1619167
1478878,FRD1,760393,2024,718485
709128,FRD11,367408,2024,341720
496331,FRD12,253461,2024,242870
273419,FRD13,139524,2024,133895
1862165,FRD2,961483,2024,900682
601853,FRD21,307857,2024,293996
1260312,FRD22,653626,2024,606686
5982538,FRE,3079355,2024,2903183
4069699,FRE1,2101139,2024,1968560
2616167,FRE11,1352948,2024,1263219
1453532,FRE12,748191,2024,705341
1912839,FRE2,978216,2024,934623
521152,FRE21,266270,2024,254882
830031,FRE22,423180,2024,406851
561656,FRE23,288766,2024,272890
5549724,FRF,2838833,2024,2710891
1931346,FRF1,987163,2024,944183
1164797,FRF11,597878,2024,566919
766549,FRF12,389285,2024,377264
1304302,FRF2,669330,2024,634972
264556,FRF21,134608,2024,129948
311187,FRF22,159033,2024,152154
560550,FRF23,290527,2024,270023
168009,FRF24,85162,2024,82847
2314076,FRF3,1182340,2024,1131736
730498,FRF31,375391,2024,355107
178231,FRF32,89701,2024,88530
1050897,FRF33,536149,2024,514748
354450,FRF34,181099,2024,173351
