code,label,total,age,male,female
NL224,Zuidwest-Gelderland,13664,5-9,7075,6589
NL225,Achterhoek,18028,5-9,9206,8822
NL226,Arnhem/Nijmegen,35584,5-9,18226,17358
NL23,Flevoland,26995,5-9,13791,13204
NL230,Flevoland,26995,5-9,13791,13204
NL3,West-Nederland,445142,5-9,228027,217115
NL31,Utrecht (NUTS 2021),:,5-9,:,:
NL310,Utrecht (NUTS 2021),:,5-9,:,:
NL32,Noord-Holland,147055,5-9,75355,71700
NL321,Kop van Noord-Holland,19111,5-9,9799,9312
NL323,IJmond,10031,5-9,5097,4934
NL324,Agglomeratie Haarlem (NUTS 2021),:,5-9,:,:
NL325,Zaanstreek,9615,5-9,4920,4695
NL327,Het Gooi en Vechtstreek,14098,5-9,7232,6866
NL328,Alkmaar en omgeving,12786,5-9,6615,6171
NL329,Groot-Amsterdam (NUTS 2021),:,5-9,:,:
NL32A,Agglomeratie Haarlem,13032,5-9,6719,6313
NL32B,Groot-Amsterdam,68382,5-9,34973,33409
NL33,Zuid-Holland (NUTS 2021),:,5-9,:,:
NL332,Agglomeratie 's-Gravenhage (NUTS 2021),:,5-9,:,:
NL333,Delft en Westland (NUTS 2021),:,5-9,:,:
NL337,Agglomeratie Leiden en Bollenstreek (NUTS 2021),:,5-9,:,:
NL33A,Zuidoost-Zuid-Holland (NUTS 2021),:,5-9,:,:
NL33B,Oost-Zuid-Holland (NUTS 2021),:,5-9,:,:
NL33C,Groot-Rijnmond (NUTS 2021),:,5-9,:,:
NL34,Zeeland,19390,5-9,9827,9563
NL341,Zeeuwsch-Vlaanderen,4732,5-9,2378,2354
NL342,Overig Zeeland,14658,5-9,7449,7209
NL35,Utrecht,76608,5-9,39149,37459
NL350,Utrecht,76608,5-9,39149,37459
NL36,Zuid-Holland,202089,5-9,103696,98393
NL361,Agglomeratie ’s-Gravenhage,49705,5-9,25506,24199
NL362,Delft en Westland,11878,5-9,6144,5734
NL363,Agglomeratie Leiden en Bollenstreek,21772,5-9,11127,10645
