code,label,total,age,male,female
HR024,Brodsko-posavska županija,6451,10-14,3328,3123
HR025,Osječko-baranjska županija,12319,10-14,6252,6067
HR026,Vukovarsko-srijemska županija,6870,10-14,3552,3318
HR027,Karlovačka županija,5026,10-14,2510,2516
HR028,Sisačko-moslavačka županija,6301,10-14,3192,3109
HR03,Jadranska Hrvatska,64273,10-14,33055,31218
HR031,Primorsko-goranska županija,11873,10-14,6061,5812
HR032,Ličko-senjska županija,1959,10-14,992,967
HR033,Zadarska županija,8378,10-14,4346,4032
HR034,Šibensko-kninska županija,4388,10-14,2208,2180
HR035,Splitsko-dalmatinska županija,22274,10-14,11527,10747
HR036,Istarska županija,9340,10-14,4854,4486
HR037,Dubrovačko-neretvanska županija,6061,10-14,3067,2994
HR04,Kontinentalna Hrvatska (NUTS 2016),:,10-14,:,:
HR041,Grad Zagreb (NUTS 2016),:,10-14,:,:
HR042,Zagrebacka zupanija (NUTS 2016),:,10-14,:,:
HR043,Krapinsko-zagorska zupanija (NUTS 2016),:,10-14,:,:
HR044,Varazdinska zupanija (NUTS 2016),:,10-14,:,:
HR045,Koprivnicko-krizevacka zupanija (NUTS 2016),:,10-14,:,:
HR046,Medimurska zupanija (NUTS 2016),:,10-14,:,:
HR047,Bjelovarsko-bilogorska zupanija (NUTS 2016),:,10-14,:,:
HR048,Viroviticko-podravska zupanija (NUTS 2016),:,10-14,:,:
HR049,Pozesko-slavonska zupanija (NUTS 2016),:,10-14,:,:
HR04A,Brodsko-posavska zupanija (NUTS 2016),:,10-14,:,:
HR04B,Osjecko-baranjska zupanija (NUTS 2016),:,10-14,:,:
HR04C,Vukovarsko-srijemska zupanija (NUTS 2016),:,10-14,:,:
HR04D,Karlovacka zupanija (NUTS 2016),:,10-14,:,:
HR04E,Sisacko-moslavacka zupanija (NUTS 2016),:,10-14,:,:
HR05,Grad Zagreb,39436,10-14,20285,19151
HR050,Grad Zagreb,39436,10-14,20285,19151
HR06,Sjeverna Hrvatska,40498,10-14,20863,19635
HR061,Međimurska županija,5796,10-14,2998,2798
HR062,Varaždinska županija,7843,10-14,3984,3859
HR063,Koprivničko-križevačka županija,5056,10-14,2640,2416
HR064,Krapinsko-zagorska županija,5782,10-14,2985,2797
HR065,Zagrebačka županija,16021,10-14,8256,7765
HR,Croatia,193350,15-19,99859,93491
HR0,Hrvatska,193350,15-19,99859,93491
HR02,Panonska Hrvatska,51673,15-19,26599,25074
HR021,Bjelovarsko-bilogorska županija,5165,15-19,2668,2497
HR022,Virovitičko-podravska županija,3632,15-19,1862,1770
HR023,Požeško-slavonska županija,3468,15-19,1797,1671
HR024,Brodsko-posavska županija,6992,15-19,3707,3285
HR025,Osječko-baranjska županija,12647,15-19,6497,6150
HR026,Vukovarsko-srijemska županija,7818,15-19,3993,3825
HR027,Karlovačka županija,5324,15-19,2721,2603
HR028,Sisačko-moslavačka županija,6627,15-19,3354,3273
HR03,Jadranska Hrvatska,63735,15-19,32937,30798
HR031,Primorsko-goranska županija,11381,15-19,5914,5467
HR032,Ličko-senjska županija,2018,15-19,1059,959
HR033,Zadarska županija,8348,15-19,4315,4033
HR034,Šibensko-kninska županija,4348,15-19,2235,2113
HR035,Splitsko-dalmatinska županija,22731,15-19,11587,11144
HR036,Istarska županija,9100,15-19,4805,4295
HR037,Dubrovačko-neretvanska županija,5809,15-19,3022,2787
HR04,Kontinentalna Hrvatska (NUTS 2016),:,15-19,:,:
HR041,Grad Zagreb (NUTS 2016),:,15-19,:,:
HR042,Zagrebacka zupanija (NUTS 2016),:,15-19,:,:
HR043,Krapinsko-zagorska zupanija (NUTS 2016),:,15-19,:,:
HR044,Varazdinska zupanija (NUTS 2016),:,15-19,:,:
HR045,Koprivnicko-krizevacka zupanija (NUTS 2016),:,15-19,:,:
HR046,Medimurska zupanija (NUTS 2016),:,15-19,:,:
HR047,Bjelovarsko-bilogorska zupanija (NUTS 2016),:,15-19,:,:
HR048,Viroviticko-podravska zupanija (NUTS 2016),:,15-19,:,:
HR049,Pozesko-slavonska zupanija (NUTS 2016),:,15-19,:,:
HR04A,Brodsko-posavska zupanija (NUTS 2016),:,15-19,:,:
HR04B,Osjecko-baranjska zupanija (NUTS 2016),:,15-19,:,:
HR04C,Vukovarsko-srijemska zupanija (NUTS 2016),:,15-19,:,:
HR04D,Karlovacka zupanija (NUTS 2016),:,15-19,:,:
HR04E,Sisacko-moslavacka zupanija (NUTS 2016),:,15-19,:,:
HR05,Grad Zagreb,36391,15-19,18758,17633
HR050,Grad Zagreb,36391,15-19,18758,17633
HR06,Sjeverna Hrvatska,41551,15-19,21565,19986
HR061,Međimurska županija,5662,15-19,2925,2737
HR062,Varaždinska županija,8445,15-19,4389,4056
HR063,Koprivničko-križevačka županija,5281,15-19,2827,2454
HR064,Krapinsko-zagorska županija,5933,15-19,3064,2869
HR065,Zagrebačka županija,16230,15-19,8360,7870
HR,Croatia,199717,20-24,104576,95141
HR0,Hrvatska,199717,20-24,104576,95141
HR02,Panonska Hrvatska,53509,20-24,28096,25413
HR021,Bjelovarsko-bilogorska županija,5126,20-24,2652,2474
HR022,Virovitičko-podravska županija,3605,20-24,1899,1706
HR023,Požeško-slavonska županija,3452,20-24,1797,1655
HR024,Brodsko-posavska županija,7468,20-24,4026,3442
HR025,Osječko-baranjska županija,13611,20-24,6985,6626
HR026,Vukovarsko-srijemska županija,7930,20-24,4192,3738
HR027,Karlovačka županija,5377,20-24,2872,2505
HR028,Sisačko-moslavačka županija,6940,20-24,3673,3267
HR03,Jadranska Hrvatska,65627,20-24,34128,31499
HR031,Primorsko-goranska županija,11691,20-24,6034,5657
HR032,Ličko-senjska županija,2077,20-24,1096,981
HR033,Zadarska županija,8606,20-24,4449,4157
HR034,Šibensko-kninska županija,4740,20-24,2525,2215
HR035,Splitsko-dalmatinska županija,23740,20-24,12179,11561
HR036,Istarska županija,9003,20-24,4845,4158
HR037,Dubrovačko-neretvanska županija,5770,20-24,3000,2770
HR04,Kontinentalna Hrvatska (NUTS 2016),:,20-24,:,:
HR041,Grad Zagreb (NUTS 2016),:,20-24,:,:
HR042,Zagrebacka zupanija (NUTS 2016),:,20-24,:,:
HR043,Krapinsko-zagorska zupanija (NUTS 2016),:,20-24,:,:
HR044,Varazdinska zupanija (NUTS 2016),:,20-24,:,:
HR045,Koprivnicko-krizevacka zupanija (NUTS 2016),:,20-24,:,:
HR046,Medimurska zupanija (NUTS 2016),:,20-24,:,:
HR047,Bjelovarsko-bilogorska zupanija (NUTS 2016),:,20-24,:,:
HR048,Viroviticko-podravska zupanija (NUTS 2016),:,20-24,:,:
HR049,Pozesko-slavonska zupanija (NUTS 2016),:,20-24,:,:
HR04A,Brodsko-posavska zupanija (NUTS 2016),:,20-24,:,:
HR04B,Osjecko-baranjska zupanija (NUTS 2016),:,20-24,:,:
HR04C,Vukovarsko-srijemska zupanija (NUTS 2016),:,20-24,:,:
HR04D,Karlovacka zupanija (NUTS 2016),:,20-24,:,:
HR04E,Sisacko-moslavacka zupanija (NUTS 2016),:,20-24,:,:
HR05,Grad Zagreb,37800,20-24,19760,18040
HR050,Grad Zagreb,37800,20-24,19760,18040
HR06,Sjeverna Hrvatska,42781,20-24,22592,20189
HR061,Međimurska županija,5810,20-24,3128,2682
HR062,Varaždinska županija,8772,20-24,4586,4186
HR063,Koprivničko-križevačka županija,5350,20-24,2795,2555
HR064,Krapinsko-zagorska županija,6431,20-24,3360,3071
HR065,Zagrebačka županija,16418,20-24,8723,7695
HR,Croatia,226394,25-29,118221,108173
HR0,Hrvatska,226394,25-29,118221,108173
HR02,Panonska Hrvatska,55967,25-29,30009,25958
HR021,Bjelovarsko-bilogorska županija,5634,25-29,3034,2600
HR022,Virovitičko-podravska županija,3839,25-29,2015,1824
HR023,Požeško-slavonska županija,3537,25-29,1895,1642
HR024,Brodsko-posavska županija,7499,25-29,4159,3340
HR025,Osječko-baranjska županija,14790,25-29,7783,7007
HR026,Vukovarsko-srijemska županija,7709,25-29,4057,3652
HR027,Karlovačka županija,5532,25-29,2967,2565
HR028,Sisačko-moslavačka županija,7427,25-29,4099,3328
HR03,Jadranska Hrvatska,74049,25-29,38186,35863
HR031,Primorsko-goranska županija,13453,25-29,7005,6448
HR032,Ličko-senjska županija,2386,25-29,1261,1125
HR033,Zadarska županija,9750,25-29,4988,4762
HR034,Šibensko-kninska županija,5175,25-29,2730,2445
HR035,Splitsko-dalmatinska županija,26017,25-29,13157,12860
HR036,Istarska županija,10303,25-29,5341,4962
HR037,Dubrovačko-neretvanska županija,6965,25-29,3704,3261
HR04,Kontinentalna Hrvatska (NUTS 2016),:,25-29,:,:
HR041,Grad Zagreb (NUTS 2016),:,25-29,:,:
HR042,Zagrebacka zupanija (NUTS 2016),:,25-29,:,:
HR043,Krapinsko-zagorska zupanija (NUTS 2016),:,25-29,:,:
HR044,Varazdinska zupanija (NUTS 2016),:,25-29,:,:
HR045,Koprivnicko-krizevacka zupanija (NUTS 2016),:,25-29,:,:
HR046,Medimurska zupanija (NUTS 2016),:,25-29,:,:
