code,label,total,age,male,female
LV,Latvia,85167,LT5,43758,41409
LV0,Latvija,85167,LT5,43758,41409
LV00,Latvija,85167,LT5,43758,41409
LV003,Kurzeme (NUTS 2021),:,LT5,:,:
LV005,Latgale,8821,LT5,4557,4264
LV006,Rīga (NUTS 2021),:,LT5,:,:
LV007,Pieriga (NUTS 2021),:,LT5,:,:
LV008,Vidzeme (NUTS 2021),:,LT5,:,:
LV009,Zemgale,10521,LT5,5406,5115
LV00A,Rīga,40578,LT5,20885,19693
LV00B,Kurzeme,12681,LT5,6522,6159
LV00C,Vidzeme,12566,LT5,6388,6178
LV,Latvia,108210,5-9,56230,51980
LV0,Latvija,108210,5-9,56230,51980
LV00,Latvija,108210,5-9,56230,51980
LV003,Kurzeme (NUTS 2021),:,5-9,:,:
LV005,Latgale,11723,5-9,6092,5631
LV006,Rīga (NUTS 2021),:,5-9,:,:
LV007,Pieriga (NUTS 2021),:,5-9,:,:
LV008,Vidzeme (NUTS 2021),:,5-9,:,:
LV009,Zemgale,12993,5-9,6711,6282
LV00A,Rīga,52050,5-9,27040,25010
LV00B,Kurzeme,15668,5-9,8110,7558
LV00C,Vidzeme,15776,5-9,8277,7499
LV,Latvia,99439,10-14,51125,48314
LV0,Latvija,99439,10-14,51125,48314
LV00,Latvija,99439,10-14,51125,48314
LV003,Kurzeme (NUTS 2021),:,10-14,:,:
LV005,Latgale,11432,10-14,5857,5575
LV006,Rīga (NUTS 2021),:,10-14,:,:
LV007,Pieriga (NUTS 2021),:,10-14,:,:
LV008,Vidzeme (NUTS 2021),:,10-14,:,:
LV009,Zemgale,12162,10-14,6282,5880
LV00A,Rīga,46621,10-14,23884,22737
LV00B,Kurzeme,14633,10-14,7539,7094
LV00C,Vidzeme,14591,10-14,7563,7028
LV,Latvia,101198,15-19,51802,49396
LV0,Latvija,101198,15-19,51802,49396
LV00,Latvija,101198,15-19,51802,49396
LV003,Kurzeme (NUTS 2021),:,15-19,:,:
LV005,Latgale,12371,15-19,6347,6024
LV006,Rīga (NUTS 2021),:,15-19,:,:
LV007,Pieriga (NUTS 2021),:,15-19,:,:
LV008,Vidzeme (NUTS 2021),:,15-19,:,:
LV009,Zemgale,12536,15-19,6363,6173
LV00A,Rīga,45799,15-19,23405,22394
LV00B,Kurzeme,15589,15-19,7992,7597
LV00C,Vidzeme,14903,15-19,7695,7208
LV,Latvia,87628,20-24,45003,42625
LV0,Latvija,87628,20-24,45003,42625
LV00,Latvija,87628,20-24,45003,42625
LV003,Kurzeme (NUTS 2021),:,20-24,:,:
LV005,Latgale,11279,20-24,5952,5327
LV006,Rīga (NUTS 2021),:,20-24,:,:
LV007,Pieriga (NUTS 2021),:,20-24,:,:
LV008,Vidzeme (NUTS 2021),:,20-24,:,:
LV009,Zemgale,10592,20-24,5507,5085
LV00A,Rīga,39770,20-24,20054,19716
LV00B,Kurzeme,13504,20-24,6989,6515
LV00C,Vidzeme,12483,20-24,6501,5982
LV,Latvia,84766,25-29,43977,40789
LV0,Latvija,84766,25-29,43977,40789
LV00,Latvija,84766,25-29,43977,40789
LV003,Kurzeme (NUTS 2021),:,25-29,:,:
LV005,Latgale,9965,25-29,5371,4594
LV006,Rīga (NUTS 2021),:,25-29,:,:
LV007,Pieriga (NUTS 2021),:,25-29,:,:
LV008,Vidzeme (NUTS 2021),:,25-29,:,:
LV009,Zemgale,9876,25-29,5238,4638
LV00A,Rīga,40072,25-29,20126,19946
