code,label,total,age,male,female
FI1D2,Pohjois-Savo (NUTS 2021),:,10-14,:,:
FI1D3,Pohjois-Karjala (NUTS 2021),:,10-14,:,:
FI1D5,Keski-Pohjanmaa,4691,10-14,2412,2279
FI1D7,Lappi,10011,10-14,5143,4868
FI1D8,Kainuu,3763,10-14,1922,1841
FI1D9,Pohjois-Pohjanmaa,29021,10-14,14753,14268
FI1DA,Etelä-Savo,6120,10-14,3137,2983
FI1DB,Pohjois-Savo,13315,10-14,6806,6509
FI1DC,Pohjois-Karjala,8429,10-14,4227,4202
FI2,Åland,1761,10-14,897,864
FI20,Åland,1761,10-14,897,864
FI200,Åland,1761,10-14,897,864
FI,Finland,314805,15-19,161381,153424
FI1,Manner-Suomi,313114,15-19,160507,152607
FI19,Länsi-Suomi,79619,15-19,40719,38900
FI193,Keski-Suomi (NUTS 2021),:,15-19,:,:
FI194,Etelä-Pohjanmaa (NUTS 2021),:,15-19,:,:
FI195,Pohjanmaa (NUTS 2021),:,15-19,:,:
FI196,Satakunta,11501,15-19,5962,5539
FI197,Pirkanmaa (NUTS 2021),:,15-19,:,:
FI198,Keski-Suomi,15848,15-19,8096,7752
FI199,Etelä-Pohjanmaa,11518,15-19,6068,5450
FI19A,Pohjanmaa,10490,15-19,5505,4985
FI19B,Pirkanmaa,30262,15-19,15088,15174
FI1B,Helsinki-Uusimaa,97751,15-19,49688,48063
FI1B1,Helsinki-Uusimaa,97751,15-19,49688,48063
FI1C,Etelä-Suomi,61584,15-19,31856,29728
FI1C1,Varsinais-Suomi,25905,15-19,13175,12730
FI1C2,Kanta-Häme,9823,15-19,5212,4611
FI1C3,Päijät-Häme (NUTS 2021),:,15-19,:,:
FI1C4,Kymenlaakso (NUTS 2021),:,15-19,:,:
FI1C5,Etelä-Karjala,6467,15-19,3354,3113
FI1C6,Päijät-Häme,11330,15-19,5880,5450
FI1C7,Kymenlaakso,8059,15-19,4235,3824
FI1D,Pohjois- ja Itä-Suomi,74160,15-19,38244,35916
FI1D1,Etelä-Savo (NUTS 2021),:,15-19,:,:
FI1D2,Pohjois-Savo (NUTS 2021),:,15-19,:,:
FI1D3,Pohjois-Karjala (NUTS 2021),:,15-19,:,:
FI1D5,Keski-Pohjanmaa,4393,15-19,2265,2128
FI1D7,Lappi,9374,15-19,4835,4539
FI1D8,Kainuu,3755,15-19,1966,1789
FI1D9,Pohjois-Pohjanmaa,28564,15-19,14701,13863
FI1DA,Etelä-Savo,6477,15-19,3383,3094
FI1DB,Pohjois-Savo,13241,15-19,6836,6405
FI1DC,Pohjois-Karjala,8356,15-19,4258,4098
FI2,Åland,1691,15-19,874,817
FI20,Åland,1691,15-19,874,817
FI200,Åland,1691,15-19,874,817
FI,Finland,308222,20-24,159235,148987
FI1,Manner-Suomi,307033,20-24,158565,148468
FI19,Länsi-Suomi,81523,20-24,42415,39108
FI193,Keski-Suomi (NUTS 2021),:,20-24,:,:
FI194,Etelä-Pohjanmaa (NUTS 2021),:,20-24,:,:
FI195,Pohjanmaa (NUTS 2021),:,20-24,:,:
FI196,Satakunta,9584,20-24,5302,4282
FI197,Pirkanmaa (NUTS 2021),:,20-24,:,:
FI198,Keski-Suomi,17279,20-24,8729,8550
FI199,Etelä-Pohjanmaa,8923,20-24,4926,3997
FI19A,Pohjanmaa,11214,20-24,6103,5111
FI19B,Pirkanmaa,34523,20-24,17355,17168
FI1B,Helsinki-Uusimaa,96260,20-24,47931,48329
FI1B1,Helsinki-Uusimaa,96260,20-24,47931,48329
FI1C,Etelä-Suomi,60445,20-24,31914,28531
FI1C1,Varsinais-Suomi,30059,20-24,14857,15202
FI1C2,Kanta-Häme,7523,20-24,4145,3378
FI1C3,Päijät-Häme (NUTS 2021),:,20-24,:,:
FI1C4,Kymenlaakso (NUTS 2021),:,20-24,:,:
FI1C5,Etelä-Karjala,7133,20-24,4262,2871
FI1C6,Päijät-Häme,9055,20-24,4812,4243
FI1C7,Kymenlaakso,6675,20-24,3838,2837
FI1D,Pohjois- ja Itä-Suomi,68805,20-24,36305,32500
FI1D1,Etelä-Savo (NUTS 2021),:,20-24,:,:
