code,label,total,age,male,female
LT02,Vidurio ir vakarų Lietuvos regionas,140997,35-39,75239,65758
LT021,Alytaus apskritis,8065,35-39,4312,3753
LT022,Kauno apskritis,44696,35-39,23245,21451
LT023,Klaipėdos apskritis,26194,35-39,13605,12589
LT024,Marijampolės apskritis,8572,35-39,4584,3988
LT025,Panevėžio apskritis,12406,35-39,6401,6005
LT026,Šiaulių apskritis,18919,35-39,10858,8061
LT027,Tauragės apskritis,5757,35-39,3189,2568
LT028,Telšių apskritis,8357,35-39,4477,3880
LT029,Utenos apskritis,8031,35-39,4568,3463
LT,Lithuania,196012,40-44,102330,93682
LT0,Lietuva,196012,40-44,102330,93682
LT01,Sostinės regionas,69289,40-44,35692,33597
LT011,Vilniaus apskritis,69289,40-44,35692,33597
LT02,Vidurio ir vakarų Lietuvos regionas,126723,40-44,66638,60085
LT021,Alytaus apskritis,7734,40-44,3966,3768
LT022,Kauno apskritis,39577,40-44,20593,18984
LT023,Klaipėdos apskritis,23736,40-44,12437,11299
LT024,Marijampolės apskritis,8039,40-44,4215,3824
LT025,Panevėžio apskritis,11087,40-44,5561,5526
LT026,Šiaulių apskritis,16664,40-44,9265,7399
LT027,Tauragės apskritis,5101,40-44,2697,2404
LT028,Telšių apskritis,7518,40-44,3907,3611
LT029,Utenos apskritis,7267,40-44,3997,3270
LT,Lithuania,:,45-49,:,:
LT0,Lietuva,192158,45-49,96235,95923
LT01,Sostinės regionas,61399,45-49,30751,30648
LT011,Vilniaus apskritis,61399,45-49,30751,30648
LT02,Vidurio ir vakarų Lietuvos regionas,130759,45-49,65484,65275
LT021,Alytaus apskritis,8567,45-49,4223,4344
LT022,Kauno apskritis,38092,45-49,18922,19170
LT023,Klaipėdos apskritis,22658,45-49,11448,11210
LT024,Marijampolės apskritis,8617,45-49,4305,4312
LT025,Panevėžio apskritis,13348,45-49,6461,6887
LT026,Šiaulių apskritis,17238,45-49,8907,8331
LT027,Tauragės apskritis,5777,45-49,2952,2825
LT028,Telšių apskritis,8434,45-49,4130,4304
