code,label,total,age,male,female
SI,Slovenia,143819,35-39,76204,67615
SI0,Slovenija,143819,35-39,76204,67615
SI03,Vzhodna Slovenija,74971,35-39,40285,34686
SI031,Pomurska,6988,35-39,3645,3343
SI032,Podravska,22453,35-39,12210,10243
SI033,Koroška,4631,35-39,2481,2150
SI034,Savinjska,17851,35-39,9531,8320
SI035,Zasavska,3954,35-39,2111,1843
SI036,Posavska,5115,35-39,2756,2359
SI037,Jugovzhodna Slovenija,10261,35-39,5513,4748
SI038,Primorsko-notranjska,3718,35-39,2038,1680
SI04,Zahodna Slovenija,68848,35-39,35919,32929
SI041,Osrednjeslovenska,39420,35-39,20357,19063
SI042,Gorenjska,14157,35-39,7494,6663
SI043,Goriška,7412,35-39,3993,3419
SI044,Obalno-kraška,7859,35-39,4075,3784
SI,Slovenia,159076,40-44,84553,74523
SI0,Slovenija,159076,40-44,84553,74523
SI03,Vzhodna Slovenija,82510,40-44,44527,37983
SI031,Pomurska,8301,40-44,4351,3950
SI032,Podravska,24661,40-44,13265,11396
SI033,Koroška,4847,40-44,2622,2225
SI034,Savinjska,19888,40-44,10696,9192
SI035,Zasavska,4231,40-44,2281,1950
SI036,Posavska,5406,40-44,2943,2463
SI037,Jugovzhodna Slovenija,11050,40-44,6074,4976
SI038,Primorsko-notranjska,4126,40-44,2295,1831
SI04,Zahodna Slovenija,76566,40-44,40026,36540
SI041,Osrednjeslovenska,43613,40-44,22684,20929
SI042,Gorenjska,15301,40-44,8030,7271
SI043,Goriška,8387,40-44,4487,3900
SI044,Obalno-kraška,9265,40-44,4825,4440
SI,Slovenia,159990,45-49,84406,75584
SI0,Slovenija,159990,45-49,84406,75584
SI03,Vzhodna Slovenija,82990,45-49,44095,38895
SI031,Pomurska,8846,45-49,4612,4234
SI032,Podravska,24494,45-49,13009,11485
SI033,Koroška,5222,45-49,2723,2499
SI034,Savinjska,20084,45-49,10749,9335
SI035,Zasavska,4045,45-49,2105,1940
SI036,Posavska,5497,45-49,2931,2566
SI037,Jugovzhodna Slovenija,10652,45-49,5707,4945
SI038,Primorsko-notranjska,4150,45-49,2259,1891
SI04,Zahodna Slovenija,77000,45-49,40311,36689
SI041,Osrednjeslovenska,42971,45-49,22321,20650
SI042,Gorenjska,15457,45-49,8158,7299
SI043,Goriška,9083,45-49,4817,4266
SI044,Obalno-kraška,9489,45-49,5015,4474
SI,Slovenia,148037,50-54,76888,71149
SI0,Slovenija,148037,50-54,76888,71149
SI03,Vzhodna Slovenija,78037,50-54,40788,37249
SI031,Pomurska,8602,50-54,4408,4194
SI032,Podravska,23733,50-54,12431,11302
SI033,Koroška,4918,50-54,2534,2384
SI034,Savinjska,18154,50-54,9476,8678
SI035,Zasavska,3721,50-54,1921,1800
SI036,Posavska,5402,50-54,2811,2591
SI037,Jugovzhodna Slovenija,9695,50-54,5123,4572
SI038,Primorsko-notranjska,3812,50-54,2084,1728
SI04,Zahodna Slovenija,70000,50-54,36100,33900
SI041,Osrednjeslovenska,38587,50-54,19711,18876
SI042,Gorenjska,14413,50-54,7416,6997
SI043,Goriška,8464,50-54,4435,4029
SI044,Obalno-kraška,8536,50-54,4538,3998
SI,Slovenia,152354,55-59,76883,75471
SI0,Slovenija,152354,55-59,76883,75471
SI03,Vzhodna Slovenija,82877,55-59,41979,40898
SI031,Pomurska,8788,55-59,4432,4356
SI032,Podravska,24464,55-59,12468,11996
SI033,Koroška,5530,55-59,2799,2731
SI034,Savinjska,19413,55-59,9785,9628
SI035,Zasavska,4379,55-59,2147,2232
SI036,Posavska,5736,55-59,2874,2862
SI037,Jugovzhodna Slovenija,10649,55-59,5452,5197
SI038,Primorsko-notranjska,3918,55-59,2022,1896
SI04,Zahodna Slovenija,69477,55-59,34904,34573
SI041,Osrednjeslovenska,37863,55-59,18923,18940
SI042,Gorenjska,14615,55-59,7319,7296
SI043,Goriška,8554,55-59,4381,4173
SI044,Obalno-kraška,8445,55-59,4281,4164
SI,Slovenia,144783,60-64,71825,72958
SI0,Slovenija,144783,60-64,71825,72958
SI03,Vzhodna Slovenija,80265,60-64,39922,40343
SI031,Pomurska,8544,60-64,4282,4262
SI032,Podravska,23341,60-64,11638,11703
