code,label,total,age,male,female
SK031,Žilinský kraj,51891,35-39,27090,24801
SK032,Banskobystrický kraj,44853,35-39,23089,21764
SK04,Východné Slovensko,117168,35-39,60386,56782
SK041,Prešovský kraj,59110,35-39,30739,28371
SK042,Košický kraj,58058,35-39,29647,28411
SK,Slovakia,435948,40-44,225206,210742
SK0,Slovensko,435948,40-44,225206,210742
SK01,Bratislavský kraj,69981,40-44,35208,34773
SK010,Bratislavský kraj,69981,40-44,35208,34773
SK02,Západné Slovensko,146945,40-44,76201,70744
SK021,Trnavský kraj,47099,40-44,24295,22804
SK022,Trenčiansky kraj,45657,40-44,23851,21806
SK023,Nitriansky kraj,54189,40-44,28055,26134
SK03,Stredné Slovensko,101020,40-44,52405,48615
SK031,Žilinský kraj,53685,40-44,27989,25696
SK032,Banskobystrický kraj,47335,40-44,24416,22919
SK04,Východné Slovensko,118002,40-44,61392,56610
SK041,Prešovský kraj,59232,40-44,30829,28403
SK042,Košický kraj,58770,40-44,30563,28207
SK,Slovakia,446662,45-49,229644,217018
SK0,Slovensko,446662,45-49,229644,217018
SK01,Bratislavský kraj,66441,45-49,34001,32440
SK010,Bratislavský kraj,66441,45-49,34001,32440
SK02,Západné Slovensko,154552,45-49,79760,74792
SK021,Trnavský kraj,49760,45-49,25616,24144
SK022,Trenčiansky kraj,47469,45-49,24613,22856
SK023,Nitriansky kraj,57323,45-49,29531,27792
SK03,Stredné Slovensko,106533,45-49,54911,51622
SK031,Žilinský kraj,55763,45-49,28902,26861
SK032,Banskobystrický kraj,50770,45-49,26009,24761
SK04,Východné Slovensko,119136,45-49,60972,58164
SK041,Prešovský kraj,58830,45-49,30431,28399
SK042,Košický kraj,60306,45-49,30541,29765
SK,Slovakia,374693,50-54,188769,185924
SK0,Slovensko,374693,50-54,188769,185924
SK01,Bratislavský kraj,48326,50-54,24444,23882
SK010,Bratislavský kraj,48326,50-54,24444,23882
SK02,Západné Slovensko,131369,50-54,66563,64806
SK021,Trnavský kraj,41419,50-54,21087,20332
SK022,Trenčiansky kraj,40388,50-54,20408,19980
SK023,Nitriansky kraj,49562,50-54,25068,24494
SK03,Stredné Slovensko,91188,50-54,45889,45299
SK031,Žilinský kraj,48039,50-54,24241,23798
SK032,Banskobystrický kraj,43149,50-54,21648,21501
SK04,Východné Slovensko,103810,50-54,51873,51937
SK041,Prešovský kraj,52248,50-54,26133,26115
SK042,Košický kraj,51562,50-54,25740,25822
SK,Slovakia,341691,55-59,168059,173632
SK0,Slovensko,341691,55-59,168059,173632
SK01,Bratislavský kraj,40239,55-59,19418,20821
SK010,Bratislavský kraj,40239,55-59,19418,20821
SK02,Západné Slovensko,121427,55-59,59837,61590
SK021,Trnavský kraj,37117,55-59,18271,18846
SK022,Trenčiansky kraj,38663,55-59,19054,19609
SK023,Nitriansky kraj,45647,55-59,22512,23135
SK03,Stredné Slovensko,84494,55-59,41523,42971
SK031,Žilinský kraj,43087,55-59,21304,21783
SK032,Banskobystrický kraj,41407,55-59,20219,21188
SK04,Východné Slovensko,95531,55-59,47281,48250
SK041,Prešovský kraj,48420,55-59,24034,24386
SK042,Košický kraj,47111,55-59,23247,23864
SK,Slovakia,339570,60-64,162559,177011
SK0,Slovensko,339570,60-64,162559,177011
SK01,Bratislavský kraj,40563,60-64,18735,21828
SK010,Bratislavský kraj,40563,60-64,18735,21828
SK02,Západné Slovensko,119911,60-64,57678,62233
SK021,Trnavský kraj,36022,60-64,17223,18799
SK022,Trenčiansky kraj,38710,60-64,18786,19924
SK023,Nitriansky kraj,45179,60-64,21669,23510
SK03,Stredné Slovensko,84185,60-64,40525,43660
SK031,Žilinský kraj,42802,60-64,20738,22064
SK032,Banskobystrický kraj,41383,60-64,19787,21596
SK04,Východné Slovensko,94911,60-64,45621,49290
SK041,Prešovský kraj,48271,60-64,23459,24812
SK042,Košický kraj,46640,60-64,22162,24478
SK,Slovakia,338258,65-69,153650,184608
SK0,Slovensko,338258,65-69,153650,184608
SK01,Bratislavský kraj,43803,65-69,19358,24445
SK010,Bratislavský kraj,43803,65-69,19358,24445
SK02,Západné Slovensko,121121,65-69,55569,65552
SK021,Trnavský kraj,36761,65-69,16882,19879
SK022,Trenčiansky kraj,39201,65-69,18077,21124
SK023,Nitriansky kraj,45159,65-69,20610,24549
SK03,Stredné Slovensko,82322,65-69,37248,45074
SK031,Žilinský kraj,41718,65-69,19029,22689
SK032,Banskobystrický kraj,40604,65-69,18219,22385
