code,label,total,age,male,female
IE061,Dublin,109987,45-49,54359,55628
IE062,Mid-East,60873,45-49,29671,31202
IE063,Midland,24282,45-49,12048,12234
IE,Ireland,362443,50-54,179719,182724
IE0,Ireland,362443,50-54,179719,182724
IE04,Northern and Western,63734,50-54,31753,31981
IE041,Border,29793,50-54,14819,14974
IE042,West,33941,50-54,16934,17007
IE05,Southern,122204,50-54,60623,61581
IE051,Mid-West,36209,50-54,17992,18217
IE052,South-East,32944,50-54,16190,16754
IE053,South-West,53051,50-54,26441,26610
IE06,Eastern and Midland,176505,50-54,87343,89162
IE061,Dublin,96977,50-54,47667,49310
IE062,Mid-East,56877,50-54,28321,28556
IE063,Midland,22651,50-54,11355,11296
IE,Ireland,320667,55-59,158211,162456
IE0,Ireland,320667,55-59,158211,162456
IE04,Northern and Western,58979,55-59,29402,29577
IE041,Border,27860,55-59,13840,14020
IE042,West,31119,55-59,15562,15557
IE05,Southern,111136,55-59,54839,56297
IE051,Mid-West,33042,55-59,16531,16511
IE052,South-East,30376,55-59,14810,15566
IE053,South-West,47718,55-59,23498,24220
IE06,Eastern and Midland,150552,55-59,73970,76582
IE061,Dublin,82117,55-59,39772,42345
IE062,Mid-East,48068,55-59,23969,24099
IE063,Midland,20367,55-59,10229,10138
IE,Ireland,292810,60-64,143516,149294
IE0,Ireland,292810,60-64,143516,149294
IE04,Northern and Western,55073,60-64,27285,27788
IE041,Border,26065,60-64,12845,13220
IE042,West,29008,60-64,14440,14568
IE05,Southern,103297,60-64,50814,52483
IE051,Mid-West,30601,60-64,15151,15450
IE052,South-East,28282,60-64,13709,14573
IE053,South-West,44414,60-64,21954,22460
IE06,Eastern and Midland,134440,60-64,65417,69023
IE061,Dublin,75016,60-64,35919,39097
IE062,Mid-East,40934,60-64,20224,20710
IE063,Midland,18490,60-64,9274,9216
IE,Ireland,250313,65-69,122782,127531
IE0,Ireland,250313,65-69,122782,127531
IE04,Northern and Western,49402,65-69,24481,24921
IE041,Border,22896,65-69,11389,11507
IE042,West,26506,65-69,13092,13414
IE05,Southern,89317,65-69,44507,44810
IE051,Mid-West,27231,65-69,13660,13571
IE052,South-East,23815,65-69,11853,11962
IE053,South-West,38271,65-69,18994,19277
IE06,Eastern and Midland,111594,65-69,53794,57800
IE061,Dublin,61933,65-69,29282,32651
IE062,Mid-East,34097,65-69,16718,17379
IE063,Midland,15564,65-69,7794,7770
IE,Ireland,213704,70-74,104088,109616
IE0,Ireland,213704,70-74,104088,109616
IE04,Northern and Western,42301,70-74,20973,21328
IE041,Border,19790,70-74,9894,9896
IE042,West,22511,70-74,11079,11432
IE05,Southern,77089,70-74,38100,38989
IE051,Mid-West,23546,70-74,11753,11793
IE052,South-East,20663,70-74,10173,10490
IE053,South-West,32880,70-74,16174,16706
IE06,Eastern and Midland,94314,70-74,45015,49299
IE061,Dublin,52813,70-74,24673,28140
IE062,Mid-East,28417,70-74,13822,14595
IE063,Midland,13084,70-74,6520,6564
IE,Ireland,167279,75-79,80192,87087
IE0,Ireland,167279,75-79,80192,87087
IE04,Northern and Western,33005,75-79,16401,16604
IE041,Border,15598,75-79,7721,7877
IE042,West,17407,75-79,8680,8727
IE05,Southern,60666,75-79,29337,31329
IE051,Mid-West,18400,75-79,8760,9640
IE052,South-East,16121,75-79,7839,8282
IE053,South-West,26145,75-79,12738,13407
IE06,Eastern and Midland,73608,75-79,34454,39154
IE061,Dublin,41204,75-79,18832,22372
IE062,Mid-East,22356,75-79,10778,11578
IE063,Midland,10048,75-79,4844,5204
IE,Ireland,105484,80-84,48060,57424
IE0,Ireland,105484,80-84,48060,57424
IE04,Northern and Western,20688,80-84,9779,10909
IE041,Border,9709,80-84,4677,5032
IE042,West,10979,80-84,5102,5877
IE05,Southern,38018,80-84,17546,20472
IE051,Mid-West,11372,80-84,5249,6123
IE052,South-East,10322,80-84,4912,5410
IE053,South-West,16324,80-84,7385,8939
IE06,Eastern and Midland,46778,80-84,20735,26043
IE061,Dublin,27369,80-84,11848,15521
IE062,Mid-East,13336,80-84,6139,7197
IE063,Midland,6073,80-84,2748,3325
IE,Ireland,56866,85-89,23627,33239
IE0,Ireland,56866,85-89,23627,33239
IE04,Northern and Western,11165,85-89,4756,6409
IE041,Border,5245,85-89,2199,3046
IE042,West,5920,85-89,2557,3363
IE05,Southern,20130,85-89,8539,11591
IE051,Mid-West,5973,85-89,2554,3419
IE052,South-East,5362,85-89,2255,3107
IE053,South-West,8795,85-89,3730,5065
IE06,Eastern and Midland,25571,85-89,10332,15239
IE061,Dublin,15590,85-89,6049,9541
IE062,Mid-East,6609,85-89,2805,3804
IE063,Midland,3372,85-89,1478,1894
IE,Ireland,90529,GE85,34910,55619
IE0,Ireland,90529,GE85,34910,55619
IE04,Northern and Western,18101,GE85,7092,11009
IE041,Border,8385,GE85,3297,5088
IE042,West,9716,GE85,3795,5921
IE05,Southern,31835,GE85,12584,19251
IE051,Mid-West,9431,GE85,3736,5695
IE052,South-East,8426,GE85,3286,5140
IE053,South-West,13978,GE85,5562,8416
IE06,Eastern and Midland,40593,GE85,15234,25359
IE061,Dublin,25153,GE85,9128,16025
IE062,Mid-East,10279,GE85,4003,6276
IE063,Midland,5161,GE85,2103,3058
