code,label,total,age,male,female
LV005,Latgale,18495,45-49,9038,9457
LV006,Rīga (NUTS 2021),41565,45-49,19538,22027
LV007,Pieriga (NUTS 2021),27330,45-49,13572,13758
LV008,Vidzeme (NUTS 2021),12333,45-49,6082,6251
LV009,Zemgale,15801,45-49,7899,7902
LV00A,Rīga,:,45-49,:,:
LV00B,Kurzeme,:,45-49,:,:
LV00C,Vidzeme,:,45-49,:,:
LV,Latvia,127715,50-54,60656,67059
LV0,Latvija,127715,50-54,60656,67059
LV00,Latvija,127715,50-54,60656,67059
LV003,Kurzeme (NUTS 2021),16018,50-54,7657,8361
LV005,Latgale,20010,50-54,9698,10312
LV006,Rīga (NUTS 2021),38500,50-54,17311,21189
LV007,Pieriga (NUTS 2021),24256,50-54,12057,12199
LV008,Vidzeme (NUTS 2021),13142,50-54,6242,6900
LV009,Zemgale,15789,50-54,7691,8098
LV00A,Rīga,:,50-54,:,:
LV00B,Kurzeme,:,50-54,:,:
LV00C,Vidzeme,:,50-54,:,:
LV,Latvia,138282,55-59,63178,75104
LV0,Latvija,138282,55-59,63178,75104
LV00,Latvija,138282,55-59,63178,75104
LV003,Kurzeme (NUTS 2021),17658,55-59,8217,9441
LV005,Latgale,21668,55-59,10259,11409
LV006,Rīga (NUTS 2021),42851,55-59,18406,24445
LV007,Pieriga (NUTS 2021),24902,55-59,11676,13226
LV008,Vidzeme (NUTS 2021),14384,55-59,6770,7614
LV009,Zemgale,16819,55-59,7850,8969
LV00A,Rīga,:,55-59,:,:
LV00B,Kurzeme,:,55-59,:,:
LV00C,Vidzeme,:,55-59,:,:
LV,Latvia,131847,60-64,57448,74399
LV0,Latvija,131847,60-64,57448,74399
LV00,Latvija,131847,60-64,57448,74399
LV003,Kurzeme (NUTS 2021),16761,60-64,7535,9226
LV005,Latgale,20340,60-64,9092,11248
LV006,Rīga (NUTS 2021),42061,60-64,16969,25092
LV007,Pieriga (NUTS 2021),23459,60-64,10634,12825
LV008,Vidzeme (NUTS 2021),13050,60-64,5938,7112
LV009,Zemgale,16176,60-64,7280,8896
LV00A,Rīga,:,60-64,:,:
LV00B,Kurzeme,:,60-64,:,:
LV00C,Vidzeme,:,60-64,:,:
LV,Latvia,109804,65-69,43882,65922
LV0,Latvija,109804,65-69,43882,65922
LV00,Latvija,109804,65-69,43882,65922
LV003,Kurzeme (NUTS 2021),14073,65-69,5720,8353
LV005,Latgale,16642,65-69,6839,9803
LV006,Rīga (NUTS 2021),36263,65-69,13407,22856
LV007,Pieriga (NUTS 2021),19430,65-69,8085,11345
LV008,Vidzeme (NUTS 2021),10374,65-69,4452,5922
LV009,Zemgale,13022,65-69,5379,7643
LV00A,Rīga,:,65-69,:,:
LV00B,Kurzeme,:,65-69,:,:
LV00C,Vidzeme,:,65-69,:,:
LV,Latvia,90370,70-74,32666,57704
LV0,Latvija,90370,70-74,32666,57704
LV00,Latvija,90370,70-74,32666,57704
LV003,Kurzeme (NUTS 2021),11716,70-74,4250,7466
LV005,Latgale,13118,70-74,4720,8398
LV006,Rīga (NUTS 2021),30625,70-74,10403,20222
LV007,Pieriga (NUTS 2021),16082,70-74,6186,9896
LV008,Vidzeme (NUTS 2021),8545,70-74,3168,5377
LV009,Zemgale,10284,70-74,3939,6345
LV00A,Rīga,:,70-74,:,:
LV00B,Kurzeme,:,70-74,:,:
LV00C,Vidzeme,:,70-74,:,:
LV,Latvia,80187,75-79,25191,54996
LV0,Latvija,80187,75-79,25191,54996
LV00,Latvija,80187,75-79,25191,54996
LV003,Kurzeme (NUTS 2021),11024,75-79,3588,7436
LV005,Latgale,11414,75-79,3474,7940
LV006,Rīga (NUTS 2021),24592,75-79,7351,17241
LV007,Pieriga (NUTS 2021),14431,75-79,4734,9697
LV008,Vidzeme (NUTS 2021),8988,75-79,2914,6074
LV009,Zemgale,9738,75-79,3130,6608
LV00A,Rīga,:,75-79,:,:
LV00B,Kurzeme,:,75-79,:,:
LV00C,Vidzeme,:,75-79,:,:
LV,Latvia,64080,80-84,17716,46364
LV0,Latvija,64080,80-84,17716,46364
LV00,Latvija,64080,80-84,17716,46364
LV003,Kurzeme (NUTS 2021),8218,80-84,2271,5947
LV005,Latgale,9130,80-84,2390,6740
LV006,Rīga (NUTS 2021),22178,80-84,6176,16002
LV007,Pieriga (NUTS 2021),10768,80-84,3193,7575
LV008,Vidzeme (NUTS 2021),6512,80-84,1727,4785
LV009,Zemgale,7274,80-84,1959,5315
LV00A,Rīga,:,80-84,:,:
LV00B,Kurzeme,:,80-84,:,:
LV00C,Vidzeme,:,80-84,:,:
LV,Latvia,32056,85-89,7468,24588
LV0,Latvija,32056,85-89,7468,24588
LV00,Latvija,32056,85-89,7468,24588
LV003,Kurzeme (NUTS 2021),4097,85-89,1002,3095
LV005,Latgale,4793,85-89,966,3827
LV006,Rīga (NUTS 2021),10875,85-89,2625,8250
LV007,Pieriga (NUTS 2021),5174,85-89,1257,3917
LV008,Vidzeme (NUTS 2021),3525,85-89,821,2704
LV009,Zemgale,3592,85-89,797,2795
LV00A,Rīga,:,85-89,:,:
LV00B,Kurzeme,:,85-89,:,:
LV00C,Vidzeme,:,85-89,:,:
LV,Latvia,46972,GE85,10227,36745
LV0,Latvija,46972,GE85,10227,36745
LV00,Latvija,46972,GE85,10227,36745
LV003,Kurzeme (NUTS 2021),5899,GE85,1361,4538
LV005,Latgale,6879,GE85,1259,5620
LV006,Rīga (NUTS 2021),16402,GE85,3754,12648
LV007,Pieriga (NUTS 2021),7471,GE85,1671,5800
LV008,Vidzeme (NUTS 2021),5109,GE85,1108,4001
LV009,Zemgale,5212,GE85,1074,4138
LV00A,Rīga,:,GE85,:,:
LV00B,Kurzeme,:,GE85,:,:
LV00C,Vidzeme,:,GE85,:,:
