code,label,total,age,male,female
HU11,Budapest,78190,15-19,39868,38322
HU110,Budapest,78190,15-19,39868,38322
HU12,Pest,74576,15-19,38343,36233
HU120,Pest,74576,15-19,38343,36233
HU2,Dunántúl,144419,15-19,74171,70248
HU21,Közép-Dunántúl,53211,15-19,27176,26035
HU211,Fejér,21261,15-19,10878,10383
HU212,Komárom-Esztergom,15082,15-19,7737,7345
HU213,Veszprém,16868,15-19,8561,8307
HU22,Nyugat-Dunántúl,48707,15-19,25123,23584
HU221,Győr-Moson-Sopron,24609,15-19,12773,11836
HU222,Vas,11927,15-19,6102,5825
HU223,Zala,12171,15-19,6248,5923
HU23,Dél-Dunántúl,42501,15-19,21872,20629
HU231,Baranya,18457,15-19,9344,9113
HU232,Somogy,14149,15-19,7254,6895
HU233,Tolna,9895,15-19,5274,4621
HU3,Alföld és Észak,195012,15-19,100303,94709
HU31,Észak-Magyarország,57871,15-19,29757,28114
HU311,Borsod-Abaúj-Zemplén,33650,15-19,17233,16417
HU312,Heves,15125,15-19,7807,7318
HU313,Nógrád,9096,15-19,4717,4379
HU32,Észak-Alföld,77453,15-19,40055,37398
HU321,Hajdú-Bihar,29045,15-19,14996,14049
HU322,Jász-Nagykun-Szolnok,18418,15-19,9560,8858
HU323,Szabolcs-Szatmár-Bereg,29990,15-19,15499,14491
HU33,Dél-Alföld,59688,15-19,30491,29197
HU331,Bács-Kiskun,25031,15-19,12816,12215
HU332,Békés,15181,15-19,7832,7349
HU333,Csongrád-Csanád,19476,15-19,9843,9633
HUX,Not regionalised/Unknown NUTS 1,:,15-19,:,:
HUXX,Not regionalised/Unknown NUTS 2,:,15-19,:,:
HUXXX,Not regionalised/Unknown NUTS 3,:,15-19,:,:
HU,Hungary,516618,20-24,264902,251716
HU1,Közép-Magyarország,164302,20-24,83345,80957
HU11,Budapest,96543,20-24,48393,48150
HU110,Budapest,96543,20-24,48393,48150
HU12,Pest,67759,20-24,34952,32807
HU120,Pest,67759,20-24,34952,32807
HU2,Dunántúl,145447,20-24,75037,70410
